playlist_uri,playlist_name
spotify:playlist:0BCc0ip6uSLy5Ilqu1xdz9,This is Yorgos Rous
spotify:playlist:0BcDB9xfzMH0u5KCDNrtx5,Morning Coffee House
spotify:playlist:0BCszSCnmYvcT6XkzxVBgz,Top Hits Lofi
spotify:playlist:0bcVWxeRT2W2rzKitExrQE,WORKOUT EDM DANCE POP MUSIC
spotify:playlist:0Bd2cR3AD6wkhCbVxcTPJL,Chill House - Soft House 2022
spotify:playlist:0bd51wq0mxnJMBz0Hd17Fi,2000s R&B (Clean)
spotify:playlist:0BEs5b1meDj0De5pUnlFT6,Wrestling Warmup/ Workout
spotify:playlist:0BFCW7wzgRHoV80Zf3IbWW,"Deep Tech Mag Official - Deep House, Tech House, Minimal, House, Melodic House/Techno"
spotify:playlist:0BGqpNB7W8zwKInflxSvuz,HIP HOP para treinar ????
spotify:playlist:0bgvnjkoDnU2CYRLyRZewX,Clean and Upbeat Kids Playlist
spotify:playlist:0bhKeQz6FOHwQfrr94RD1m,This Is Jett'z Playlist
spotify:playlist:0BI2uYsYPMQmvO94rmtXFf,CRIPS x BLOODS
spotify:playlist:0BiShAx447ufHiHPUWjkaj,'90s Dance Music Mix
spotify:playlist:0BNjeycEUAnCRuo5AZ0Y3l,Kpop Running/Workout Playlist
spotify:playlist:0bNuMTLWVNocZvHneRManu,Christian EDM 2022 (Christian Dance Party)
spotify:playlist:0Bojwbftoxnykt62F6GLaY,Real Country Only??
spotify:playlist:0BoKNAE8y4RLKtHp6ULQ1u,Nederlandse hip hop 2000
spotify:playlist:0Bosi20LaeNMbimMkpBwjU,Hard Rock Training/Workout
spotify:playlist:0bPVU7BoGspDmoONNzX16y,Flammneu ?? | Top EDM und Dance Hits! Top 100 Hits Brandneu Dezember 2022 | SlapHouse Shuffle Hits
spotify:playlist:0brkHY4rgO5HfxbyfF7bnU,RAW Uncut | Independent Hip Hop | Up and Coming Rappers 
spotify:playlist:0BRRRjy1YOyyMkWZsyw2NX,HOUSE BANGERS 2022 ??
spotify:playlist:0BSDrjZR57B3WsZV0fo7lY,my folder_dance house
spotify:playlist:0Bt8ZSdmyveqjEsrCvDqzA,This Is Zachary Kyle
spotify:playlist:0buMdJRogQP9yAZbJ7cPp4,Top House World
spotify:playlist:0bUNELs7kyIbZud0gur7qO,Power Workout  ?? Best Hip Hop & Rap Gym Workout Music Mix ?? Top Workout Songs 2022
spotify:playlist:0bvtishIpMl2a7lMeKJELp,BEAUTIFUL MELODIC EDM??
spotify:playlist:0bW81GQKXBQnp26igMca0m,I dont know what a persimmon is and at this point im too afraid to ask
spotify:playlist:0Bwsx6NY1bLFhaE1Kg58aw,i waited for this song for 2 weeks and now it’s my fave song (WYD Now?)
spotify:playlist:0BwwGhj6T0hIDwq1N3qVdT,Sinhala Top Hits 2022 ????
spotify:playlist:0bx2XQ89Hv4kuCuvK9osTm,Viral Pop Relax
spotify:playlist:0BxLGCFZfLWSm1Ap4foBr5,Copyright Free EDM Music for Twitch & Youtube
spotify:playlist:0BXZFUhCvDu1cTb1mX01ix,90's Pop Party
spotify:playlist:0bYkueG5i4H0SIq3xvdO1t,BAND POP INDONESIA 2000an
spotify:playlist:0ByTpBJGCtve1SQOpUDMOg,wtf is this
spotify:playlist:0byY1VG4AAkmwwNAH3GmC4,BAD GAL • BADDIE • BBE • FEMALE RAP • WOMEN OF HIP HOP • FEMINIE ENERGY
spotify:playlist:0c1PZ6Mr9Z6cnRXeYxzCsW,lofi hip hop - beats to relax to
spotify:playlist:0C4amMJb0x4fMehWJmPvKd,EDM ??
spotify:playlist:0c7G0Rtx0Dl5LOwPgxBzUh,FNAF After Show
spotify:playlist:0c99CJt5k1Xlq9W2xDCjQd,This is Peter Guzman 
spotify:playlist:0c9D7lwTHCFChhSGNrf9yj,my house 
spotify:playlist:0cai7MtAK0WWiuXZI3uMkO,clean office pop
spotify:playlist:0cc8YMQWsSzODyTpdVB6mI,"Kitsuné's New, Hot & Fresh"
spotify:playlist:0cCG38OjT3qO0Pd4mg8j1z,Rock Workout - Gym Music
spotify:playlist:0CCiXnmdPhWctmlnNxH7Yo,????EDM
spotify:playlist:0CerXGBgdOoxiXEyOsqys8,T.I.A.(This is Africa)
spotify:playlist:0cetn0YvE7GUxLovZIleFe,This is Julia Wieniawa
spotify:playlist:0CewuhOisPs6pGvDfgzYvs,edm baby????
spotify:playlist:0CFmynOSH0NBRxDsvQFe5N,Christmas pop remixes 
spotify:playlist:0CFuhNtY6BxdNJSVC2ZY5x,Latest Malayalam Top 50 Hits #2022
spotify:playlist:0CFuMybe6s77w6QQrJjW7d,Chillhop Radio ?? jazz/lofi hip hop beats to study/relax to | Study Music | Chillhop Music 2022
